Name,DOB,Gender,Aadhar_No,Father_Name,Address1,Address2,Address3,Address4,Address5
Manisha Natarajan,28/06/1985,Female,3191 4360 1350,Narayana Gala,"80,BDA Complex","2nd Stage,Banashankari","Bangalore,530102",,
Jayanta lastname,26/07/2006,Male,5893 7378 2799  ,Nirmal Bhatia,"101,Ground Floor","Manjunatha Complex,22nd Main Road","2nd Stage,Banashankari","Bangalore,530103",
Malini Goyal,10/9/1994,Female,5383 9167 1172,LaÃƒÂ¯li Cherian,"32,7th Main Road","Dwaraka Nagar,Near PES College","Banashankari,Bangalore",530104,
Lalit Bhagat,21/05/2000,Female,1602 4374 7503,Kalika Meka,"8,2nd Floor","1st Main,Arush Trapeze","Mount Joy Road,Behind BMS College of Engineering","Hanumanthnagar,Banashankari","Bangalore,53010"
Gita Sehgal,12/3/1990,Male,4542 2314 475,Adita Sekhon,"4,Opposite NMKRV College","21st C Cross Road,3rd Block","Jayanagar,Bangalore",530106,
Mukesh Savant,14/05/2008,Male,5559 9426 3916  ,Laxman Sood,"556/A,Water Tank Road","3rd Stage,Banashankari","Bangalore,530107",,
Arya Srivastava,27/12/1980,Female,4409 9109 985,Arjuna Mukherjee,"39,3rd Main","4th Cross,Hanumanth Nagar","Near,Basavanagudi","Bangalore,530108",
Jiva Mishra,23/07/2021,Male,8730 5083 3227,Karuna Pingle,"Opp Vinayaka hospital,Near Seetha Circle","80 Feet Road,Banashankari","Bangalore,530109",,
Daya Magar,8/1/1985,Male,3300 931 8388,Chandrakant Dave,"2466,Bhaskar Grand Tower","24th Cross,Opposite BDA Complex","Banashankari,Bangalore",530110,
Narayan Kunda,27/05/2000,Female,2407 2148 7453  ,Anupam Dey,"645,1st Floor","24th Cross,24th Main","2nd Stage,Banashankari","Bangalore,530111",
Durga Sant,15/08/1981,Male,6316 5191 4857  ,Madhurya Venkataraman,"2469,3rd Floor","24th Cross,Opposite BDA Complex","2nd Stage,Banashankari","Bangalore,530112",
Dipika Yadav,18/06/1970,Male,5252 2107 8328,Chetan Sharma,"2nd Stage,Banashankari","Bangalore,530113",,,
Kalidasa Pai,3/11/1988,Male,7669 2182 5423,Jaswinder Kashyap,"1750,14th Main","Police Station Road,Kumaraswamy Layout","Bangalore,530114",,
Bhaskar Deshmukh,4/5/1985,Male,9376 9305 1251  ,Nandini Chandra,"1621,1st Floor","50 Feet Main Road,Kumaraswamy Layout","Bangalore,530115",,
Kumara Bhakta,24/10/2020,Female,8763 8304 84,Lilavati Nagy,"179,1st Floor","Jawarlalnehru Road,BEML Layout","Rajarajeshwari Nagar,Bangalore",530116,
Carpanin Chacko,4/9/1970,Male,4322 0446 4154  ,Gita Mand,"1607,Sagar Hospital Road","Near Dayanandasagar College,Kumaraswamy Layout","Bangalore,530117",,
Kumara Dhaliwal,14/10/2013,Female,8128 1396 7951,Carliaye Chanda,"276,Ground Floor","100 Feet Outer Ring Road,Banashankari 3rd Stage","Banashankari,Bangalore",530118,
Kalidasa Misra,7/2/1990,Male,2127 9469 1096  ,Lal Kothari,"1514,4th Cross","7th Main,RPC layout","2nd Stage,Vijay Nagar","Bangalore,530119",
Madhurya Mehrotra,17/05/1973,Female,5465 6320 5020,Drishti Soni,"808/6-1,24th A Cross","K.R Road,2nd Stage","Banashankari,Bangalore",530120,
Chandra Sidhu,27/07/1992,Female,2058 6244 7535,Avanti Mani,"178,Next To Old KEB Office","8th F Main Road,24b Cross","3rd Block,Jayanagar","Bangalore,530121",
Kumari Sridhar,5/11/1986,Female,5573 788 3571,Dharmaradj Kamdar,"78,21st Main Road","Near BDA Complex,2nd Stage","Banashankari,Bangalore",530122,
Deodan Krish,6/3/1977,Female,9533 6945 2700  ,Meena Jaggi,"10,Stavyah Arcade","3rd Floor 9th Main,Yarab Nagar Main Road","Banashankari,Bangalore",530123,
Aradhana Mand,29/06/1980,Male,8335 1786 6340  ,Geevarghese Goswami,"218/1,11th Main","50 Feet Road,Hanumanthnagar","Banashankari,Bangalore",530124,
Anima Choudhary,19/10/1983,Female,1833 7039 5808  ,Carma Prabhakar,"2466,Bhaskar Grand Tower","24th Cross,Opposite BDA Complex","Banashankari,Bangalore",530125,
Kashi Purohit,13/09/1970,Male,4504 5948 0441  ,Jaswinder Gopal,"484/A,1st Stage","2nd Block,4th Main Rd","SBM Colony,Seetha Circle","Banashankari,Bangalore",53012
Narayan Ray,23/07/1984,Male,1963 7906 6990,Mounoussamy Goel,"18,B K Complex","Opposite To BDA Complex,21st","Main Road,2nd Stage","Banashankari,Bangalore",53012
Kunti Khalsa,28/09/2004,Male,2627 6982 7928  ,Jyoti Kapoor,"942,3rd Floor","21st Main Road,2nd Stage","Banashankari,Bangalore",530128,
Amrita Prakash,13/11/1983,Male,3984 9662 8526,Kapil Verma,"1828,50 Feet Road","2nd Stage,Kumaraswamy Layout","Bangalore,530129",,
Mahesh Edwin,5/1/1995,Male,6907 9926 3070  ,Deodan Mukhopadhyay,"67,Kanasu Complex","Kubirmutt Road,Hunumathathangar","Basavanagudi,Bangalore",530130,
Ishvara Srinivasan,8/1/2012,Male,7780 5943 9354,Karlaye Dutt,"296,Ram Towers","100 Feet Ring Road,Banashankari","Bangalore,530131",,
Darshan Babu,12/5/1994,Female,8563 8585 3725  ,Kanti Chahal,"295/B,7th Main Road","100 Feet Ring Road,7th Block","3rd Stage,Banashankari","Bangalore,530132",
Jayant Peri,28/08/2015,Male,1647 2992 1592  ,Deepali Choudhry,"31,Opposite Vijaya College","RV Road,Basavanagudi","Bangalore,530133",,
DarmÃƒÂ¨sh Muni,10/1/1985,Male,6930 4090 7834,Anandita Nair,"30th Cross,8th Main","Near Jain Temple,4th Block","Jayanagar,Bangalore",530134,
Anjali Bajaj,25/10/1981,Male,6835 6406 520,Kamaradj Soni,"10,30th Main","Deve Gowda Petrol Bunk Road,3rd Stage","Banashankari,Bangalore",530135,
Geevarghese Sule,22/10/2012,Female,3629 4136 7657,Anand Bansal,"186,11th Main","4th Cross,Hanumanthnagar","Banashankari,Bangalore",530136,
Karna Sarna,13/08/2012,Male,4092 8390 1243,Narayana Anand,"59/3,Ground & First Floor","West Anjaneya Temple Road,Ward 49","Gandhi Bazaar,Basavanagudi","Bangalore,530137",
Lochana Dugal,15/07/1972,Male,9584 9201 9782,Ã¯Â»Â¿firstname Shukla,"101,Ground Floor","Manjunatha Complex,22nd Main Road","2nd Stage,Banashankari","Bangalore,530138",
Durga Gara,7/4/1978,Male,7480 6152 9092,Damodar Behl,"476,2nd Floor","9th Cross,Avalahalli BDA Park","BSK 3rd Stage,Banashankari","Bangalore,530139",
Jyotsna Savant,28/07/2011,Male,1528 4246 8748,Kartikeya Banik,"Opposite ICICi Bank,Hanuman Nagar","Banashankari,Bangalore",530140,,
Asha Chaudhry,29/11/1973,Male,6840 1550 7777  ,Kanchana Banik,"100 Feet Road,3rd Stage","Banashankari,Bangalore",530141,,
Duleep Dugar,11/8/2020,Male,1534 7393 0057  ,Inderpal Rao,"Shop 33 & 30,21st Main","Near BDA Complex,2nd Stage","Banashankari,Bangalore",530142,
Karlaye Minhas,6/12/1984,Female,7778 4411 5944,Jaidev Badal,"39,S B M Colony","Near-Sita Circle,1st Stage","Banashankari,Bengaluru",530143,
Inderpal Swamy,26/04/1994,Male,91 4838 4453,Aishwarya Natt,"49/1,Subbaraoshetty Road","Netkallappa Circle,Basavanagudi","Bangalore,530144",,
Jitender Bhatia,17/08/2003,Female,9851 2041 4147  ,Ishwari Kamdar,"16th Main Road,Near PESIT College","Banashankari,Bangalore",530145,,
Chandan Andra,4/12/2019,Female,2913 5645 7241,Karan Muni,"1430,22nd Cross","Next To Coffee Day,Near BDA Complex","Banashankari,Bangalore",530146,
Jayashri Karnik,24/01/1980,Male,3299 3885 7430  ,Agni Iyer,"727,23rd Cross","KR Road,2nd Stage","Banashankari,Bangalore",530147,
Indu Garde,3/3/1989,Female,396 6776 7816,Manju Bhatti,"36,2nd Main","RPC Layout,Vijay Nagar","Bangalore,530148",,
Harendra Rai,27/03/2018,Male,1684 464 4693,Brahma Sethi,"2477,24th Cross Road","Siddanna Layout,Stage 2","Banashankari,Bangalore",530149,
Deepali Ravi,13/07/2000,Male,1017 5029 5506  ,Nirmal Zacharia,"1142,22nd Cross","30th Main,Banashankari","Bangalore,530150",,
Dayanand Nagarajan,22/09/2020,Female,3697 3406 4364,Dipti Sekhon,"512,2nd Cross","3rd Stage,Banashankari","Bangalore,530151",,
Karuna Rao,20/05/1984,Female,4074 7372 991,Nala Chowdhury,"161/C,6th Main","80 Feet Road,Bhuvaneshwari Nagercoil","Banashankari,Bangalore",530152,
Chanemouga Murthy,10/5/1988,Male,4771 3176 8289,Nidra Mishra,"45/12,4th Cross","10th Main,Gururaja Layout","Banashankari,Bangalore",530153,
Neha Dhar,11/11/2017,Male,3492 5684 720,Kama Soni,"52,1st Floor","33rd Cross,4th Block","Jayanagar,Bangalore",530154,
Mahendra Agrawal,13/11/2018,Male,5057 4980 6731,Aparajita Vohra,"38,22nd Main","22nd Cross,Opposite BDA","2nd Stage,Banashankari","Bangalore,530155",
Ajay Sarkar,29/10/1978,Female,5335 1321 9289  ,Chandi Om,"1/34,3rd Cross Road","Kathriguppe IV Phase,Banashankari 3rd Stage","Banashankari,Bangalore",530156,
Avani Bhavsar,6/1/1996,Male,9615 7817 7604,Draupadi Tandon,"480/A,50 feet road","Nagendra block,Near PES College","Nagendra block,Banashankari","Bangalore,530157",
Jivan Rout,2/7/2008,Male,6790 0217 9540  ,Nirmal Yogi,"BDA Shopping Complex,24th Cross Road","Siddanna Layout,2nd Stage","Banashankari,Bangalore",530158,
Anjali Pingle,21/12/1986,Male,9233 7113 7861,Manisha Nair,"Shop 18,3rd cross road","Markandeya Layout,Banashankari","Bangalore,530159",,
Mohandas Bansal,24/06/1978,Female,2932 2136 8267,Kistna Chaudhry,"625,5th Cross Road","Hanumanthnagar,Banashankari","Bangalore,530160",,
Devi Raval,15/11/1973,Male,1314 2270 1803,Deepali Nayak,"941,21st Main Road","BSK 2nd Stage,Near BDA Complex","Banashankari,Bangalore",530161,
Lekha Kaul,15/09/2012,Female,7480 7932 9633  ,Jaywant Morar,"304,Opposite Apollo Public School","100 Feet Ring Road,4th Phase","7th Block,Banashankari 3rd Stage","Bangalore,",53016
Adhik Karnik,3/6/2021,Female,2010 1889 7684,Komari Krishnan,"3828,Near Deve Gowda Petrol Bunk","30th Cross,3rd Stage","Banashankari,Bangalore",530163,
Jiva Chaudhari,17/01/1987,Female,4391 3560 6883  ,Dipak Prasad,"50 Feet Road,Hanumanthanagar","Banashankari,Bangalore",530164,,
Esha Garde,9/10/1989,Male,3119 2063 6381,Amrita Sundaram,"34,22nd Main","22nd Cross,Opposite BDA","2nd Stage,Banashankari","Bangalore,530165",
Manju Bala,5/10/2006,Female,7754 8354 1074  ,Damayanti Dhillon,"24/1,23rd Cross","6th Main Road,Opposite Kaveri Grameena Bank","2nd Stage,Banashankari","Bangalore,530166",
Aradhana Meda,13/10/2009,Female,4219 1441 7663  ,Jivan Kari,"96,Opposite Jain Collage","Basavanagudi,Bangalore",530167,,
Carliaye Wadhwa,18/08/2007,Female,3172 755 1928,Carma Sachar,"2465,3rd Floor","Opposite BDA Complex,24th Cross","Banashankari,Bangalore",530168,
Gitika Garde,18/02/2009,Female,7073 7667 7567,Anish Manne,"295/A,7th Main road","7th Block,3rd Stage","Banashankari,Bangalore",530169,
Kichenin Lanka,28/09/2006,Female,7108 5237 4515  ,Arjun Sethi,"1189,10th Cross","Shankarnag Circle,1st Stage","2nd Block,Banashankari","Bangalore,530170",
Nitia Kashyap,27/10/2014,Male,2851 2310 3815,Komari Shere,"415,1st C Cross","Banashankari 3rd Stage,5th Block","Bangalore,Banashankari","Bangalore,530171",
KanyÃƒÂ¢-Koumari Nath,6/5/1982,Male,5107 7011 6413,Mira Verma,"101,Water Tank Road","2nd Block,3rd Stage","Banashankari,Bangalore",530172,
Abhay Gara,18/10/1974,Female,3133 9246 129,Mahavira Master,"27,80 Feet Road","Srinivasnagar,Banashankari","Bangalore,530173",,
Manjula Sarkar,16/07/1971,Male,0352 3443 0027  ,Drishti Amble,"Number 42,4th Block","6th Stage Banashankari,Vrishabhvachi Nagar","Opposite RV College of Architecture,Bangalore",530174,
Lakshmana Kaur,15/11/2013,Female,7583 1766 1567,Ishvara Raval,"1722,13th Main Road 31st Cross BSK","2nd Stage,Banashankari","Bangalore,530175",,
Anila Mehrotra,9/11/1972,Male,9120 2241 1404  ,Harish Sandal,"2,3rd Cross","Near Pesit College,Banashankari","Bangalore,530176",,
Madhu Oza,13/07/2002,Female,1534 8176 2966,Lalitha Patel,"8,Katriguppe Main Road","Vivekananda Nagar,3rd Stage","Banashankari,Bangalore",530177,
Govind Nagar,7/6/1998,Male,6989 4600 9333,Madhu Rana,"594,24 The Cross BSK","Opposte Oriental Bank,Banashankari","Bangalore,530178",,
Devdas Singhal,20/03/1978,Female,2010 105 9680,Devayanne Sachar,"7/1,Behind BMS College Hostel","80 Feet Road,1st Stage","Srinivas Nagar Bank Colony,Banashankari","Bangalore,530179",
Kariyamna Savant,11/4/2015,Male,6896 9082 602,Om Bahl,"3967,VHBC Society","Girinagar Phase 4,Hosekerehalli Mani Road","Banashankari 3rd Stage,Banashankari","Bangalore,530180",
Kajal Sani,2/9/2019,Female,7529 8921 3332  ,Manjika Singh,"Shop 25,1st Cross","50 Feet Main Road,Near BDA Park","Girinagar,Banashankari","Bangalore,530181",
Ananta-Sesa Sha,6/9/1986,Male,5699 2164 640,Dilip Devi,"Near Seetha Circle,Vivekananda Park Road","Girinagar,Banashankari","Bangalore,530182",,
Gitika Kamdar,17/09/2003,Female,6176 5363 3205  ,Kishan Anand,"41/10,Near PESIT Collage","8th Main Road,1st Cross","Dwarakanagar,Banashankari","Bangalore,530183",
Mahesh Subramanian,28/03/1985,Female,2358 9575 3996,Mahinder Sanghvi,"3148,2nd Cross","4th Phase Girinagar,Near Hosagarnahalli Cross","Banashankari,Bangalore",530184,
Ajith Dutt,27/01/1978,Female,5379 8523 2076,Dipika Mallick,"662,19th Main","Kidney Foundation,Padmanabhan Nagar","Banashankari,Bangalore",530185,
Arjuna Tiwari,30/01/2014,Female,8894 2780 1051,Jitendra Bora,"1189,9th Main","Ashok Nagar,Bank 1st Stage","Banashankari,Bangalore",530186,
Anuja Purohit,13/05/1974,Male,4369 352 8037,Jagdish Merchant,"27,27th Cross","2nd Stage,Banashankari","Bangalore,530187",,
Chanemougam Bandi,5/12/1971,Male,8348 7047 6746  ,Kishen Pillai,"4001/4002,Annapoorneshwari Plaza","Near Seetha Circle,Hosakerehalli Cross","Banashankari,Bangalore",530188,
Nikhila Sankaran,16/03/1981,Female,698 4539 5193,Kiran Madan,"89,Near PES College","22nd Main Road,Girinagar","1st Stage,Banashankari","Bangalore,530189",
Manisha Chauhan,24/01/1999,Female,8795 8320 3153,Deva Naidu,"10th Main,Hanumanthanagar","50 Feet Road,Phase 1","Banashankari,Bangalore",530190,
Leka Handa,22/06/2011,Male,554 2705 1732,Karlaye Amble,"68,Opposite ICICI Bank","21st Main Road,2nd Stage","Banashankari,Bangalore",530191,
Chanemouga Bhardwaj,4/8/1998,Female,6280 4115 0243  ,Mahendra Bhalla,"590,24th Cross","2nd Stage,Banashankari","Bangalore,530192",,
Narendra Savant,20/07/1999,Male,5011 1212 517,Kishore Kota,"346,7th Cross","8th Main Road,Padmanabham Nagar","Banashankari,Bangalore",530193,
Ishvara Wagle,5/4/2016,Female,5518 2372 4750,Jayanti Dixit,"17/1,Ramalh Garden","Kadieranahall Circle,Near Raghavendra Flour Mill","Dr Vishnuvardhan Main Road,BSK 2nd Stage","Banashankari,Bangalore",53019
Anant Kumer,9/2/2009,Female,5255 8331 4329  ,Manish Pau,"Padmanabhanagar,Banashankari","Bangalore,530195",,,
Lalitha Baria,20/06/2020,Female,7527 9690 3925,Kamala Ram,"29,5th Cross","Near PES College,100 Feet Road","Dwaraka Nager,Banashankari","Bangalore,530196",
Harisha Patel,9/6/1971,Female,754 7319 7326,Lalit Ganguly,"692,12th Cross","7th Block Kankapura Main Road,Banashankari","Bangalore,530197",,
Lochan Hora,20/05/1983,Male,8792 260 277,Kalinda Nazareth,"28,4th Cross Road","Dwaraka Nagar,Banashankari","Bengaluru,530198",,
Devi Virk,30/11/2011,Male,0410 0893 6192  ,Aniruddha Deol,"3/16,22 Main Road","Magenta Block,PES College","Road Bank Colony,Banashankari","Bangalore,530199",
Dharmaradj Boase,14/04/2017,Male,9993 5858 1242,Divya Kohli,"17/1,Ramaiah Garden","Kadirenahalli Circle,Dr Vishnuvardhan Main Road","2nd Stage,Banashankari","Bangalore,530200",
Gopika Yadav,4/4/2007,Male,318 8401 3864,Jayendra Wali,"2/1,7th Main","Dwarakangar,Banashankari","Bangalore,530201",,
Mahendra Jha,22/07/1976,Female,9375 7454 7491,Kapil Shetty,"487,Cauvery Complex","S.B.M Colony,80 Feet Road","Banashankri,Bangalore",530202,
Ajeet Gandhi,9/6/2003,Male,9993 2083 9108  ,Bhavana Patla,"10,4th cross","Muneshwara Block,Devinagar","Banashankari,Bangalore",530203,
Devika Pau,25/09/2020,Female,1130 1240 795,Jaywant Subramaniam,"559/1,Opposite Canara Bank ATM","Pipelane Road,Sri Nagar","Banashankari,Bengaluru",530204,
Kichenin Rao,25/02/1976,Male,8377 4634 1888,Kirti Oza,"263,3rd Main Road","Chikka Laksandra,Banashankari","Bangalore,530205",,
Mahavir Mehta,6/12/1987,Male,7860 7132 5921,Murali Pandey,"57,3rd cross","80 feet Road,Banashankari","Bangalore,530206",,
Kariyamna Sant,31/10/1995,Female,910 8382 6465,Kichenin Ghosh,"94,Katriguppe Main Road","Opposite Pai Showroom,Banashankari","Bangalore,530207",,
Kalinda Chand,16/08/1990,Male,6940 7740 6743,Kama Raman,"66,Benaka","2nd Cross,2nd Main","Kathriguppe East,3rd Stage","Banashankari,Bangalore",53020
Devaraja Zachariah,27/01/2001,Male,6682 7270 32,Devdan Yohannan,"617,100 Feet Ring Road Next to Devegowda Petrol Pump","Banashankari,Bangalore",530209,,
Lochana Halder,4/1/1985,Male,4109 9101 3459  ,Mogaya Johal,"209,5th Cross","AG Thaneerappa Road,1st Phase Girinagar","Ganapathi Nagar,Banashankari Stage I","Banashankari,Bengaluru",53021
Lekha Lalla,28/04/1978,Female,3977 5096 9096  ,Kamini Sani,"Bhuvaneshwari Nagar BSK 3RD Stage,Banashankari","Bangalore,530211",,,
Jiva Batta,23/06/2017,Male,76 5206 2207,Ila Rattan,"77,50 Ft Road","Hanumathnagara,Banashankari","Bangalore,530212",,
Indrajit Dutt,23/05/2004,Male,5640 4017 2597,Malini Dass,"21,80 Feet Road","3rd Phase,4th Block","3rd Stage,Banashankari","Bangalore,530213",
Dayanand Palla,16/09/1980,Female,721 5842 785,Anil Choudhury,"1,Near BDA Complex","24th Main,2nd Stage","Banashankari,Bangalore",530214,
Minakshi Butala,24/10/2008,Female,7130 1466 7510,Lochan Ray,"No.37,Shree Complex","Next to Dominoes Pizza,Bull temple Road","Basavanagudi,Bangalore",530215,
Govind Devi,1/1/2006,Female,5490 2308 1281,Karliaye Sastry,"155,43rd Cross Road","8th Block,Jayanagar","Bangalore,530216",,
Kala Bhavsar,21/07/1970,Male,3160 9635 1252  ,Leela Kuruvilla,"No.1585,22nd Main","Banashankari 1st Stage,530217",,,
Antrija Dayal,13/04/1976,Male,3467 5999 2890  ,Krishnin Buch,"39/1,R.V Road","Opposite Vijaya College,Basavanagudi","Bangalore,530218",,
Karan Chakraborty,13/02/2015,Male,8984 6304 184,Jaidev Sachar,"608,21st Cross","Kumaraswamy Layout,Bangalore",530219,,
Ankita Chowdhury,26/05/1970,Male,174 9718 5480,Jitendra Shenoy,"100 Feet Ring Road,2nd Phase","Banashankari,Bangalore",530220,,
Lallida Wason,22/02/1995,Female,2526 7790 928,Daya Mishra,"1,80 Feet Road","6th Block,3rd Stage","Banashankari,Bangalore",530221,
Nirmala Soman,4/1/1978,Male,5167 7064 6506,Chandan Sabharwal,"12,Banashankari","Bangalore,530222",,,
Kalika Parekh,28/04/1993,Male,2283 0565 1280  ,Darshan Madan,"1A/29,Shop 2","27th Cross,Jayanagar","Bangalore,530223",,
Kadrivel Jayaraman,19/10/2006,Female,8639 3240 1247,Krishnaraja Mehan,"153,Satellite Bus Stand","Byataranyapura,Mysore Road","Bangalore,530224",,
Kesavane Baral,1/10/1983,Male,6775 4587 3420,Abhay Menon,"Dayanand Sagar College Road,Kumaraswamy Layout","Bangalore,530225",,,
Amrit Nair,17/09/2012,Female,2879 524 1770,Ishvara Pau,"Basement,MR Complex","Near Police Station,25th Cross","14th Main,Kumaraswamy Layout","Bangalore,530226",
Manu Chakraborty,12/10/2012,Male,7316 3498 1187,Kirtida Kapoor,"28/29,9th Main Road","3rd Block,Jayanagar","Bangalore,530227",,
Isha Naidu,9/1/1991,Female,6503 5064 6941,Ajeet Bhagat,"11/2,Ground Floor","Khazi Street,Basavanagudi","Bangalore,530228",,
Bishen Char,10/12/1999,Female,4008 946 1624,Kishen Parsa,"4th Cross Road,Byatarayanapura","Srinagar,Banashankari","Bangalore,530229",,
Mitul Nazareth,29/11/2002,Male,7040 3461 6032,Dev Minhas,"28-29,3rd Block","9th Main Road,Jayanagar","Bangalore,530230",,
Jayanti Basu,28/07/1988,Male,5550 9324 6302,Chiranjeevi Kata,"92/1,Gandhi Bazaar Main Road","Basavangudi. Next to Vodafone Showroom,Basavanagudi","Bangalore,530231",,
Kanilja Mohanty,28/08/2002,Female,581 3937 1119,Baladeva Sahni,"615/1,Ground Floor","Janardhan Mansion,10th C Main","32nd D Cross,4th Block","Jayanagar,Bangalore",53023
Mahavir Upadhyay,5/9/2014,Male,1311 1271 9746  ,Indu Deo,"79,Vanivilas Road","Next to KFC,Basavanagudi","Bangalore,530233",,
Gowri Bhatti,23/02/1976,Female,3328 4078 2343,Gopika Thakur,"805,Ground Floor","35C Cross,9th Main","4th Block,Jayanagar","Bangalore,530234",
